LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO,VALOR_HORA,VALOR_DURACION,outlier
5156,prueba,karen,192.168.1.79,17970,2020-11-25,13:08:20.931,2020-11-25 13:08:20,SELECT,1.067,OK,0.22082399273672182,0.10911136107986502,0
5157,prueba,karen,192.168.1.79,17970,2020-11-25,13:09:20.961,2020-11-25 13:09:20,idle,0.0,OK,0.2222891349103061,0.0,0
5158,prueba,karen,192.168.1.79,17978,2020-11-25,13:09:21.762,2020-11-25 13:09:21,,0.0,OK,0.22230868478338672,0.0,0
5159,prueba,karen,192.168.1.79,17978,2020-11-25,13:10:21.824,2020-11-25 13:10:21,authentication,0.0,OK,0.22377460797562077,0.0,0
5160,prueba,karen,192.168.1.79,17978,2020-11-25,13:10:21.855,2020-11-25 13:10:21,SET,0.246,OK,0.22377536458743796,0.025155946415788936,0
5161,prueba,karen,192.168.1.79,17978,2020-11-25,13:11:21.887,2020-11-25 13:11:21,SELECT,1.962,OK,0.2252405555746878,0.2006340116576337,0
5162,prueba,karen,192.168.1.79,10169,2020-11-25,13:11:18.667,2020-11-25 13:11:18,,0.0,OK,0.22516196557303958,0.0,0
5163,prueba,karen,192.168.1.79,10012,2020-11-25,13:12:10.732,2020-11-25 13:12:10,,0.0,OK,0.22643270732329224,0.0,0
5164,prueba,karen,192.168.1.79,10012,2020-11-25,13:12:10.810,2020-11-25 13:12:10,authentication,0.0,OK,0.2264346110562513,0.0,0
5165,prueba,karen,192.168.1.79,10012,2020-11-25,13:13:10.847,2020-11-25 13:13:10,SELECT,6.676,OK,0.22789992407766524,0.6826873913488087,1
5166,prueba,karen,192.168.1.79,10012,2020-11-25,13:13:10.870,2020-11-25 13:13:10,idle,0.0,OK,0.22790048543481978,0.0,0
5167,prueba,karen,192.168.1.79,10015,2020-11-25,13:14:11.388,2020-11-25 13:14:11,,0.0,OK,0.22937753814281525,0.0,0
5168,prueba,karen,192.168.1.79,10015,2020-11-25,13:14:11.461,2020-11-25 13:14:11,authentication,0.0,OK,0.22937931984161042,0.0,0
5169,prueba,karen,192.168.1.79,10015,2020-11-25,13:15:11.498,2020-11-25 13:15:11,SELECT,5.465,OK,0.23084463286302415,0.558850598220677,1
5170,prueba,karen,192.168.1.79,10016,2020-11-25,13:15:11.521,2020-11-25 13:15:11,,0.0,OK,0.2308451942201789,0.0,0
5171,prueba,karen,192.168.1.79,10016,2020-11-25,13:16:11.599,2020-11-25 13:16:11,authentication,0.0,OK,0.23231150792173783,0.0,0
5172,prueba,karen,192.168.1.79,10016,2020-11-25,13:16:11.629,2020-11-25 13:16:11,SET,0.195,OK,0.23231224012672225,0.019940689232027818,0
